nome,endereco
3G CELL LTDA,"Rua José de Oscar de Abreu Sampaio, 397  - Rua José de Oscar de Abreu Sampaio, 397 - Jardim Anália Franco - SP"
A. ALBERTO ELIAS CHENU – ME,"Alameda França, 435 - Jardim Paulista - Unidade 41 - São Paulo - SP - SP"
ADONAY ALVES SIQUEIRA VIEIRA,"""R MONTE SINAI, 55 - CIDADE ANTONIO ESTEVAO DE CARVALHO"" - São Paulo - SP - SP"
estado,cidade,title,endereco
RS,Canoas,Unidade de Negócio Canoas,"Rua Liberdade (Vila Rosa), 33 Marechal Rondon, CEP:92020-240 "
RS,CAPAO DA CANOA,Unidade de Negócio Capão da Canoa,"Av. Paraguassu, 557 - Zona Nova - Capão da Canoa/RS, 95555-000"
RS,Caxias do Sul,Unidade de Negócio Caxias do Sul,"R-116, Km 148, 18059 - Sagrada Família, Caxias do Sul - RS, 95054-780"
RS,Erechim,Unidade de Negócio Erechim,"Rua Pedro Álvares Cabral, 620 - 102 Centro, Erechim/RS   CEP: 99.700-252"
RS,Gramado,Unidade de Negócio Gramado,"Av. Borges de Medeiros, 1690 - Planalto - Gramado - RS, 95675-050"
RS,Lajeado,Unidade de Negócio Lajeado,"BR-386, 2220 - Sala 11 - Americano, Lajeado - RS, 95900-488"
RS,Marau,Unidade de Negócio Marau - RS,"Av Julio Borella, número 1712, Sala B, Centro - Marau - RS - CEP: 99.150-000"
RS,Novo Hamburgo,Unidade de Negócio Novo Hamburgo - RS,"R. João Antônio da Silveira, 346 - Centro Novo Hamburgo - RS, 93510-300"
RS,Passo Fundo,Unidade de Negócio Passo Fundo,"Avenida Presidente Vargas, 134 Cep: 99070-000 Centro "
RS,Pelotas,Pelotas,"R. Suzana Cortez Balreira, 191 - Sala 3 - São Gonçalo, Pelotas - RS, 96075-160"
RS,Porto Alegre,Unidade de Negócio Porto Alegre,"Av. Dr. Nilo Peçanha, 2245 - Loja 04 - Boa Vista,  CEP: 91330-001"
RS,Porto Alegre,Unidade Porto Alegre - Moinhos de Vento - RS,"Rua Mostardeiro, 12 - Loja 02 - Bairro: Moinhos de Vento - CEP: 90.430-000"
RS,Santa Maria,Unidade de Negócio Santa Maria,"Av. Pres. Vargas, 1880 - Nossa Sra. de Fátima, Santa Maria - RS, 97015-512"
RS,Torres,Torres,"Av. Benjamin Constant, 316 - Centro, Torres - RS, 95560-000"
Santa Catarina,Camboriú,Unidade de Negócio Camboriú - SC,"R. José R. da Cunha, 440 - Centro, Camboriú - SC, 88340-308"
Santa Catarina,Concórdia,Concórdia,Oswaldo Valentim zandavalli 163 sala 101 centro 
Santa Catarina,Joinville,Joinville Santo Antônio ,"R. Pres. Prudente de Moraes, 1250 - Sala 01 - Santo Antônio, Joinville - SC, 89218-000"
Santa Catarina,Porto Belo,Porto Belo Centro - SC,"Rua Pedro Reig nº 60 -  Sala 01A, Edifício Atlantia Oceanviwe Home Boutique, bairro Perequê"
SC,Balneário Camboriú,Unidade de Negócio Balneario-Camboriu,"Rua 600 (Seiscentos), 161, Sala 2B, Centro, CEP: 88330-630"
SC,BALNEARIO DE PICARRAS,Unidade Balneário Piçarras - SC,"AV EMANOEL PINTO, 2528 Loja 2"
SC,Biguaçu,Unidade de Negócio Biguaçu,"Rua Hermógenes Prazeres, 147, Centro, Biguaçu/SC, CEP: 88160-152"
SC,Blumenau,Unidade de Negócio Blumenau,"Rua  Sete de Setembro, 441 - Centro, CEP: 89010-201"
SC,Brusque,Unidade de Negócio Brusque,"Rua João Bauer, 245, Sala 2, Centro, CEP: 88350-100"
SC,Caçador,Unidade de Negócio Caçador,"Rua Osório Timermann, 226, Sala 01 - Centro, Caçador - SC, 89500-000 (Edifício Berlim)"
SC,Canoinhas ,Unidade de Negócio Canoinhas,"Rua Barão do Rio Branco, nº 821, sala nº 03, Centro  Canoinhas - SC"
SC,Chapecó,Unidade de Negócio Chapeco,"Rua Av. Getúlio Dorneles Vargas, 1487 - sala 02 Centro, CEP: 89812-900"
SC,Criciúma,Unidade de Negócio Criciuma,"Rua Princesa Isabel,40 - Edificio Primer Tower Sala 1, CEP: 88801-130"
SC,Curitibanos,Unidade de Negócio Curitibanos,"Rua Manoel Rodrigues Lima, 601, Bom Jesus, CEP 89.520- 000"
SC,Florianópolis,Unidade de Negócio Florianópolis,"Cel. Mauricio Spalding de Souza 1212 Bairro: Santa Monica - Florianopolis , CEP 88035-111 "
SC,Florianópolis,Unidade de Negócio Florianópolis Campeche,"Rua Joaquim José Antunes, 204 - Loja 3 Campeche  Cep:88065-160  Florianópolis  SC"
SC,Gaspar,Unidade de Negócio Gaspar,"Rua Duque de Caxias, 111, Sala 01  Centro, CEP:89110-052"
SC,Guaramirim,Unidade de Negócio Guaramirim,"Rua Antônio Zimmermann, 17, Centro CEP: 89270-000"
SC,Imbituba,Unidade Imbituba - SC,3 de Outubro 35 Sala 101 Centro - Imbituba SC - CEP 88.780-000
SC,Indaial,Indaial,"Av. Getúlio Vargas, 303 - Sala 02 - Centro, Indaial - SC, 89080-024"
SC,Itajaí,Unidade de Negócio Itajai,"Rua José Gall, 185, Salas 02 e 03, Edificio Catalunya, Dom Bosco, CEP: 88307-101"
SC,Itapema,Unidade de Negócio Itapema,"Avenida Nereu Ramos, 5160, Salas 8 e 9 Edifício Noah, Meia Praia, CEP: 88220-000"
SC,Itapoá,Unidade de negócio Itapoa - SC,"AVENIDA DAS MARGARIDAS, 487 - Sala 02 - Jardim Perola do Atlantico - Itapoá - SC"
SC,Jaraguá do Sul,Unidade de Negócio Baependi,"Rua: Fritz Bartel, 200 - Jaraguá do Sul - SC, 89256-120"
SC,Jaraguá do Sul,Unidade de Negócio Vila Nova - SC,"Rua 25 de julho, 278. Vila Nova, Jaraguá do Sul - SC  89559-000"
SC,Joinville,Unidade de Negócio Joinville (Atiradores),"Rua Ministro Calógeras, 1189, Atiradores  CEP:89202-005"
